img_src,x,y
0.png,0.259632777050239,0.5006204932530633
1.png,0.5355749401492867,0.8999433490294916
2.png,0.7358116331307101,0.5458635072773144
3.png,0.5836689994030647,0.7438800373287168
4.png,0.4697067778129464,0.6111122460928106
5.png,0.7758722964639178,0.4447458655787726
6.png,0.8245683038746736,0.4123116397440667
7.png,0.6602376255211464,0.6760134525677615
8.png,0.6126531523858593,0.7943489967870235
9.png,0.3234242087907052,0.6316896720574366
10.png,0.709274441962386,0.6973729505055906
11.png,0.5793262474156616,0.6094662268570313
12.png,0.4350590572679306,0.5200574001619204
13.png,0.4104799462384554,0.8079238821341862
14.png,0.4927714314916792,0.8708469109031851
15.png,0.47890748748705547,0.4984407957326211
16.png,0.3763326002235045,0.6167382474906908
17.png,0.5755791022315526,0.5533737940154667
18.png,0.3449449747076335,0.6754855379411793
19.png,0.6427937920462282,0.7626614635551913
20.png,0.20954457276375732,0.296289139290878
21.png,0.4382999380565038,0.7059179504242182
22.png,0.9262695330533912,0.5405604928606014
23.png,0.6986685691145865,0.6320974906124056
24.png,0.39852978640260595,0.47564920158456514
25.png,0.7382646156082829,0.48516498980053013
26.png,0.7816141797017322,0.3908213189360725
27.png,0.5865800340718257,0.8290300021677789
28.png,0.3473669377514909,0.4240814109246568
29.png,0.9042575636955006,0.5024061835313297
30.png,0.416518641897612,0.5768038908982417
31.png,0.6406057109194326,0.4774850335317311
32.png,1.0018124568821054,0.5009120828709627
33.png,0.47704200082695875,0.9451978551051354
34.png,0.3470803141610477,0.47023127032443857
35.png,0.6862700836901745,0.574281718683764
36.png,0.4995974925996226,0.7783095850442838
37.png,0.5616875917673365,0.8642572110318671
38.png,0.2722558734576572,0.3594940080156096
39.png,0.7326966894370347,0.4220015846650478
40.png,0.6899601902303544,0.4554442885568094
41.png,0.2816267820629417,0.545871968099025
42.png,0.4305431137940486,0.6448574431803737
43.png,0.8137372105092399,0.6127319841392669
44.png,0.8505241785971341,0.5870945191679946
45.png,0.599932934810488,0.45174772485566556
46.png,0.74457691448378,0.60112321238224
47.png,0.39760205166026424,0.7621343692418469
48.png,0.36886231989397084,0.7245770103145637
49.png,0.31622284475983425,0.5110755021314931
50.png,0.2538413792382738,0.4127670382707948
51.png,0.5006271439413955,0.724892717678617
52.png,0.63468413141387,0.5298965051263227
53.png,0.7889884571226284,0.5683883321291447
54.png,0.5245997584944277,0.5217779781384904
55.png,0.2311937662913902,0.4596824572781552
56.png,0.629142825221206,0.5813042476746091
57.png,0.8158905686508052,0.46922041477482407
58.png,0.8675697394367824,0.4338121027305866
59.png,0.5830789734376254,0.4992484618890839
60.png,0.8612345105766261,0.4862612026930968
61.png,0.48304424771866367,0.670968756622189
62.png,0.46250837834556613,0.8168359504191116
63.png,0.6886605882281116,0.513045353725687
64.png,0.38201070172116963,0.5247551096029005
65.png,0.45671102062750246,0.9020282437715013
66.png,0.5931421335264805,0.6631649540201913
67.png,0.39158639772664144,0.6800463190505567
68.png,0.2887006884162904,0.4561101447016337
69.png,0.4804194581259741,0.5599771988151362
70.png,0.2480304295142696,0.3202152327504854
71.png,0.889428568758106,0.5626762895502218
72.png,0.5459321954838335,0.695714430569015
73.png,0.743295686820895,0.6679367160555415
74.png,0.8401948355301906,0.5347600795445292
75.png,0.30800775170851274,0.3937361851021003
76.png,0.5268708764077795,0.582498951975805
77.png,0.9101767108891186,0.45509913474715075
78.png,0.7785918583056234,0.6397920150626233
79.png,0.20889335871300194,0.39245077450181687
80.png,0.7871256138135814,0.5146422882275372
81.png,0.6458973381379335,0.424177518278757
82.png,0.30338774572598104,0.5892405099737454
83.png,0.3485194660926479,0.565770361149787
84.png,0.5509713320133444,0.780278623956753
85.png,0.19422863785702188,0.3448495373378377
86.png,0.6426075269334168,0.6290019259260355
87.png,0.6747802716195362,0.7296133729766349
88.png,0.5237589736132829,0.8280482526230007
89.png,0.4485249121577179,0.7588760926707627
90.png,0.6909897590475541,0.3959673914255132
91.png,0.17029441954421448,0.2846705805824145
92.png,0.5126831481009027,0.9358548882017962
93.png,0.7401316077979446,0.3706312251597579
94.png,0.9537392330551996,0.47686987367476424
95.png,0.9638704012283776,0.5188258763858304
96.png,0.5423876436860458,0.47550368555269973
97.png,0.5292969675558563,0.6395999388143878
98.png,0.43529056042536496,0.8561281373226639
99.png,0.6209680183004059,0.7096802552320514
