img_src,x,y
0.mp4,0.3606141,0.3193295
1.mp4,0.58252746,0.46042597
2.mp4,0.9382112,0.916681
3.mp4,0.25458494,0.4216001
4.mp4,0.1845637,0.46712756
5.mp4,0.88615125,0.8099309
6.mp4,0.12663418,0.45602188
7.mp4,0.4648993,0.6354809
8.mp4,0.86924356,0.69899404
9.mp4,0.59751457,0.50463605
10.mp4,0.11565761,0.4263078
11.mp4,0.5541982,0.7814455
12.mp4,0.15362464,0.3877835
13.mp4,0.42254734,0.66398996
14.mp4,0.37910745,0.40839535
15.mp4,0.6222765,0.8178317
16.mp4,0.28233972,0.3315165
17.mp4,0.063745774,0.26547176
18.mp4,0.13950625,0.16264153
19.mp4,0.28249103,0.6176652
20.mp4,0.36436632,0.6705613
21.mp4,0.9013773,0.910136
22.mp4,0.5419266,0.67643297
23.mp4,0.3433352,0.28018343
24.mp4,0.63475364,0.5022716
25.mp4,0.16829361,0.2960243
26.mp4,0.93251294,0.8777491
27.mp4,0.32290924,0.33774346
28.mp4,0.58385617,0.65097624
29.mp4,0.7292504,0.5785504
30.mp4,0.3977364,0.49532688
31.mp4,0.23477766,0.35154438
32.mp4,0.25510713,0.30023476
33.mp4,0.5030937,0.65601236
34.mp4,0.5123524,0.5009098
35.mp4,0.3930648,0.69141024
36.mp4,0.21342944,0.17421797
37.mp4,0.999816,0.9995983
38.mp4,0.18640219,0.35382682
39.mp4,0.25220108,0.2576804
40.mp4,0.96104944,0.8430113
41.mp4,0.64051586,0.65753835
42.mp4,0.8299348,0.87512714
43.mp4,0.919086,0.750025
44.mp4,0.16880152,0.5070005
45.mp4,0.614126,0.73169637
46.mp4,0.36819133,0.45818308
47.mp4,0.4897879,0.7015916
48.mp4,0.33483335,0.6543984
49.mp4,0.47118625,0.51628864
50.mp4,0.38953906,0.64258707
51.mp4,0.2122937,0.31624678
52.mp4,0.110268995,0.31562468
53.mp4,0.7268802,0.6176544
54.mp4,0.681035,0.67158365
55.mp4,0.42189226,0.35229832
56.mp4,0.49921736,0.6037147
57.mp4,0.82700443,0.7027112
