img_src,x,y
0.mp4,0.82742554,0.10034173
1.mp4,0.7300398,0.50893885
2.mp4,0.5645373,0.02855239
3.mp4,0.7418945,0.41150656
4.mp4,0.49295056,0.36004895
5.mp4,0.67359084,0.61985743
6.mp4,0.98604953,0.27022815
7.mp4,0.089718856,0.008301093
8.mp4,0.15508716,0.012196508
9.mp4,0.4729305,0.10653838
10.mp4,0.78378165,0.2035581
11.mp4,0.415526,0.29167843
12.mp4,0.92846656,0.83392745
13.mp4,0.6142008,0.68791604
14.mp4,0.91741455,0.06389677
15.mp4,0.118660234,0.23170358
16.mp4,0.4402008,0.19712026
17.mp4,0.72330046,0.77333367
18.mp4,0.07739922,0.18110877
19.mp4,0.28806534,0.1596995
20.mp4,0.055205144,0.12245213
21.mp4,0.8368118,0.64403003
22.mp4,0.6575972,0.1299262
23.mp4,0.12719475,0.08333719
24.mp4,0.81841516,0.46323404
25.mp4,0.3666443,0.020159185
26.mp4,0.27855068,0.27143043
27.mp4,0.8405858,0.26764315
28.mp4,0.32216567,0.07554405
29.mp4,0.84568536,0.03169736
30.mp4,0.8353904,0.8591676
31.mp4,0.9860018,0.44337538
32.mp4,0.25616458,0.37370506
33.mp4,0.16331585,0.28052342
34.mp4,0.1670961,0.15138505
35.mp4,0.92657393,0.7412342
36.mp4,0.62868375,0.04589231
37.mp4,0.60939133,0.21706821
38.mp4,0.20775175,0.32813236
39.mp4,0.35393617,0.21924667
40.mp4,0.5705173,0.41335273
41.mp4,0.22959594,0.0939602
42.mp4,0.50894904,0.270113
43.mp4,0.6741511,0.29423416
44.mp4,0.5188315,0.5903145
45.mp4,0.4057536,0.39169443
46.mp4,0.7600772,0.5916267
47.mp4,0.9058965,0.40556443
48.mp4,0.9941296,0.5278289
49.mp4,0.97717935,0.18552157
50.mp4,0.9950905,0.6173656
51.mp4,0.7788829,0.81569344
52.mp4,0.9951458,0.86575675
53.mp4,0.9999738,0.9999104
54.mp4,0.029337017,0.064814225
55.mp4,0.92725575,0.5752597
56.mp4,0.99523365,0.7021164
57.mp4,0.49960893,0.027371004
58.mp4,0.29012382,0.013612566
59.mp4,0.22180429,0.013310858
60.mp4,0.8817239,0.15529577
61.mp4,0.61613035,0.5649355
62.mp4,0.9947638,0.785883
63.mp4,0.43323705,0.022026038
64.mp4,0.914155,0.22890818
65.mp4,0.41337353,0.50561726
66.mp4,0.8601117,0.784383
67.mp4,0.91927654,0.661177
68.mp4,0.6956417,0.048128486
69.mp4,0.5857389,0.31716654
70.mp4,0.6597929,0.38553405
71.mp4,0.56360996,0.642155
72.mp4,0.88955593,0.901774
73.mp4,0.6677176,0.7310049
74.mp4,0.46615377,0.5494832
75.mp4,0.5498285,0.5043817
76.mp4,0.5280749,0.1840539
77.mp4,0.988984,0.35878766
78.mp4,0.5688742,0.11111234
79.mp4,0.8083481,0.72585857
80.mp4,0.7012337,0.20748883
81.mp4,0.76647973,0.033815037
82.mp4,0.7589641,0.30736622
83.mp4,0.9964655,0.93725276
84.mp4,0.9645583,0.11226101
85.mp4,0.73608685,0.68086356
86.mp4,0.93959504,0.94390434
87.mp4,0.7461038,0.118738614
88.mp4,0.38767293,0.12531245
89.mp4,0.47936863,0.4495778
90.mp4,0.64825726,0.47869977
91.mp4,0.83972275,0.55017555
92.mp4,0.8263101,0.36666736
93.mp4,0.3373629,0.33409935
94.mp4,0.02482593,0.0034217052
95.mp4,0.2189116,0.21350256
96.mp4,0.9168868,0.32031593
97.mp4,0.9116716,0.49069312
98.mp4,0.35959354,0.46386245
99.mp4,0.30733886,0.4201348
