img_src,x,y
0.png,0.3666885,0.46872264
1.png,0.77763474,0.57926404
2.png,0.9677465,0.8317488
3.png,0.5445726,0.4309401
4.png,0.89031297,0.8369702
5.png,0.76838046,0.73815536
6.png,1.000116,0.99715704
7.png,0.39270723,0.40100196
8.png,0.991826,0.9153391
9.png,0.40626273,0.3295501
10.png,0.14649148,0.21255562
11.png,0.8522557,0.71563315
12.png,0.6893528,0.5255595
13.png,0.55299085,0.5994579
14.png,0.61991847,0.607778
15.png,0.66444504,0.69577914
16.png,0.38557863,0.488083
17.png,0.3603579,0.29519543
18.png,0.52459604,0.61820763
19.png,0.31287828,0.40838808
20.png,0.694974,0.7186872
21.png,0.52564913,0.53803116
22.png,0.9951808,0.9436757
23.png,0.16808881,0.18438023
24.png,0.84985816,0.8837697
25.png,0.47613928,0.37995157
26.png,0.11662033,0.17120893
27.png,0.9096513,0.73104084
28.png,0.25944558,0.3507367
29.png,0.13152033,0.1916903
30.png,0.7814684,0.83150595
31.png,0.087210886,0.096256875
32.png,0.56970364,0.4464327
33.png,0.8014348,0.5942011
34.png,0.8261028,0.86718214
35.png,0.58935314,0.5844364
36.png,0.42996472,0.3461899
37.png,0.58328426,0.6213858
38.png,0.15666348,0.13234524
39.png,0.8527607,0.64934164
40.png,0.58644444,0.6730238
41.png,0.8080459,0.7240694
42.png,0.91587585,0.9362949
43.png,0.7678684,0.7027769
44.png,0.36668438,0.33701745
45.png,0.89418125,0.9192296
46.png,0.23693116,0.2793583
47.png,0.29103988,0.31946242
48.png,0.1893039,0.20683986
49.png,0.8721185,0.9026314
50.png,0.75833315,0.8138777
51.png,0.7273183,0.6128389
52.png,0.27820665,0.2726297
53.png,0.2907465,0.23951612
54.png,0.6569679,0.54799515
55.png,0.92055714,0.8039178
56.png,0.5703923,0.4864059
57.png,0.4251873,0.5249145
58.png,0.45238093,0.3640269
59.png,0.70882636,0.6461283
60.png,0.6851641,0.56489784
61.png,0.87550133,0.741583
62.png,0.85310346,0.8481152
63.png,0.9150423,0.8966945
64.png,0.545479,0.63671625
65.png,0.44528446,0.44931686
66.png,0.6102876,0.6464241
67.png,0.523345,0.5729705
68.png,0.7129582,0.5408645
69.png,0.56764585,0.6524736
70.png,0.13529506,0.11446125
71.png,0.33850816,0.2765831
72.png,0.47234264,0.47141984
73.png,0.7616187,0.77578837
74.png,0.34762836,0.4492174
75.png,0.40864554,0.46377754
76.png,0.49839652,0.39749506
77.png,0.9422201,0.91650474
78.png,0.7014332,0.68347985
79.png,0.797459,0.7611155
80.png,0.8682213,0.6689276
81.png,0.2678718,0.22124076
82.png,0.06644326,0.09006084
83.png,0.4056651,0.5061088
84.png,0.20794274,0.29182675
85.png,0.7960737,0.62804055
86.png,0.111287355,0.09483091
87.png,0.48393285,0.58143055
88.png,0.04267282,0.05193465
89.png,0.24153346,0.33244658
90.png,0.63863355,0.6692227
91.png,0.31362033,0.2574496
92.png,0.48988578,0.5466347
93.png,0.9739602,0.85310334
94.png,0.43579587,0.48736715
95.png,0.111766644,0.14710209
96.png,0.62602127,0.568874
97.png,0.3007989,0.35037994
98.png,0.8170976,0.65520865
99.png,0.38331228,0.4374007
100.png,0.9394726,0.7707555
101.png,0.8867844,0.80300206
102.png,0.9595724,0.9689089
103.png,0.83505285,0.748238
104.png,0.33161083,0.38092518
105.png,0.35737348,0.4108924
106.png,0.6093555,0.688072
107.png,0.89926356,0.7705647
108.png,0.7307759,0.7165613
109.png,0.5991537,0.5074155
110.png,0.5937715,0.46328822
111.png,0.5586453,0.5618915
112.png,0.1783007,0.15163128
113.png,0.38386825,0.31122577
114.png,0.42016208,0.42516372
115.png,0.8965226,0.70979697
116.png,0.22468956,0.3123641
117.png,0.5352011,0.5022952
118.png,0.54133385,0.46403402
119.png,0.22160092,0.18464702
120.png,0.7365093,0.55536264
