img_src,x,y
0.mp4,0.9633715,0.8374311
1.mp4,0.9718161,0.87437195
2.mp4,0.88567567,0.65484756
3.mp4,0.8321182,0.34838545
4.mp4,0.9997016,0.99881876
5.mp4,0.8979312,0.776903
6.mp4,0.9421864,0.86745477
7.mp4,0.45941913,0.1127931
8.mp4,0.85314906,0.2950334
9.mp4,0.30271435,0.05879612
10.mp4,0.89169073,0.488295
11.mp4,0.23349784,0.041553985
12.mp4,0.87175226,0.4162169
13.mp4,0.883772,0.44569704
14.mp4,0.7985208,0.33113125
15.mp4,0.7255778,0.4727022
16.mp4,0.76011366,0.53355277
17.mp4,0.7034324,0.21493043
18.mp4,0.82077926,0.5479108
19.mp4,0.5258017,0.17758237
20.mp4,0.68280846,0.41548446
21.mp4,0.8251543,0.41622064
22.mp4,0.7987419,0.23337513
23.mp4,0.7377715,0.4146723
24.mp4,0.5296493,0.23303457
25.mp4,0.80060446,0.50523406
26.mp4,0.38642663,0.11176713
27.mp4,0.9822305,0.94837886
28.mp4,0.7773388,0.5632712
29.mp4,0.5387549,0.123611115
30.mp4,0.6766452,0.35067183
31.mp4,0.59649354,0.30719045
32.mp4,0.49308816,0.128499
33.mp4,0.99133813,0.9735459
34.mp4,0.81962496,0.2905368
35.mp4,0.78131604,0.2176316
36.mp4,0.49606508,0.21473601
37.mp4,0.86731267,0.71193147
38.mp4,0.9308602,0.83396006
39.mp4,0.6507712,0.2133129
40.mp4,0.7390783,0.31986433
41.mp4,0.95074743,0.76738304
42.mp4,0.55078214,0.13329771
43.mp4,0.8498055,0.51298
44.mp4,0.7652789,0.453001
45.mp4,0.6374348,0.3633374
46.mp4,0.6632916,0.14241786
47.mp4,0.9211797,0.7478633
48.mp4,0.8520758,0.33629224
49.mp4,0.8144838,0.62549007
50.mp4,0.6910295,0.3051683
51.mp4,0.70302695,0.44696838
52.mp4,0.6944514,0.1579994
53.mp4,0.91301066,0.604706
54.mp4,0.8109349,0.18943909
55.mp4,0.57137275,0.28729904
56.mp4,0.8976311,0.524895
57.mp4,0.7955331,0.5974187
58.mp4,0.5880108,0.20625855
59.mp4,0.8151614,0.36343288
60.mp4,0.7450638,0.50126463
61.mp4,0.41268826,0.13114423
62.mp4,0.6623127,0.39335805
63.mp4,0.92922306,0.6771491
64.mp4,0.90012425,0.6957079
65.mp4,0.72662145,0.2629656
66.mp4,0.593911,0.25304815
67.mp4,0.95720184,0.8014136
68.mp4,0.740879,0.21376784
69.mp4,0.8733336,0.6076925
70.mp4,0.8068272,0.4579941
71.mp4,0.45903742,0.15010011
72.mp4,0.9804226,0.92303234
73.mp4,0.7594399,0.36342144
74.mp4,0.92322946,0.6448802
75.mp4,0.35437176,0.08877472
76.mp4,0.9094304,0.5687561
77.mp4,0.94276935,0.72301626
78.mp4,0.85341567,0.47084653
79.mp4,0.61815,0.3357806
80.mp4,0.83816415,0.5868198
81.mp4,0.43656135,0.1582826
82.mp4,0.7758448,0.4013148
83.mp4,0.68917364,0.25894302
84.mp4,0.76694363,0.26679373
85.mp4,0.7159734,0.37079418
86.mp4,0.95999926,0.90216017
87.mp4,0.54454136,0.25794935
88.mp4,0.91278183,0.80466723
89.mp4,0.65162164,0.30457413
90.mp4,0.33454716,0.08998165
91.mp4,0.8389993,0.64811236
92.mp4,0.8467632,0.68099034
93.mp4,0.8809374,0.7444182
94.mp4,0.64205426,0.25661722
95.mp4,0.47443986,0.18609512
96.mp4,0.60850185,0.148032
97.mp4,0.8699371,0.5578918
98.mp4,0.27609435,0.05817111
99.mp4,0.55695635,0.19103515
