img_src,x,y
0.png,0.946409,0.8591595
1.png,0.62986887,0.24838968
2.png,0.6890922,0.18278989
3.png,0.6507701,0.14549367
4.png,0.46518424,0.01562676
5.png,0.69669765,0.13099614
6.png,0.90734977,0.35253313
7.png,0.95958614,0.0010229629
8.png,0.7264398,0.09294257
9.png,0.4970516,0.06671803
10.png,0.9950861,0.009668727
11.png,0.46733254,0.17678781
12.png,0.826086,0.092015706
13.png,0.8648927,0.48271033
14.png,0.8634676,0.22620085
15.png,0.5462347,0.23440105
16.png,0.85908395,0.38030842
17.png,0.99874234,0.90923756
18.png,0.90316087,0.19457719
19.png,0.8672106,0.7063146
20.png,0.48063606,0.117649175
21.png,0.95553887,0.7915337
22.png,0.57447153,0.11425697
23.png,0.99343795,0.4068907
24.png,0.9978274,0.45122164
25.png,0.5909749,0.21284202
26.png,0.6267873,0.4259018
27.png,0.95177525,0.58777225
28.png,0.22340699,0.06246026
29.png,0.5036321,0.018698521
30.png,0.95426774,0.3250195
31.png,0.91415375,0.61845976
32.png,0.7436463,0.47840035
33.png,0.8215335,0.19990525
34.png,0.9076202,0.45435333
35.png,0.99857146,0.27303615
36.png,0.9514784,0.3762202
37.png,0.81419253,0.30575654
38.png,0.5826915,0.26821786
39.png,0.6757814,0.4094261
40.png,0.8657428,0.27752852
41.png,0.75777227,0.33653957
42.png,0.54238075,0.012304538
43.png,0.87310183,0.11805224
44.png,0.7225494,0.0014052178
45.png,0.8204159,0.139537
46.png,0.25937364,0.094290875
47.png,0.99611217,0.7921475
48.png,0.99845123,0.86959827
49.png,0.70936024,0.44552225
50.png,0.99833375,0.1854844
51.png,0.9981627,0.31717134
52.png,0.7266553,0.52483034
53.png,0.544972,0.05902992
54.png,0.63942957,0.1960316
55.png,0.93010944,0.8231779
56.png,0.30127758,0.111462675
57.png,0.8193532,0.2548644
58.png,0.33108726,0.1892922
59.png,0.9619044,0.8960829
60.png,0.9959784,0.54204535
61.png,0.25741887,0.13823314
62.png,0.9239108,0.08170799
63.png,0.95403683,0.16836749
64.png,0.768573,0.023368802
65.png,0.5078795,0.20596208
66.png,0.9511733,0.64588517
67.png,0.022788106,0.0002944972
68.png,0.954079,0.11472091
69.png,0.9958329,0.7517827
70.png,0.9977153,0.83141667
71.png,0.8432048,0.6698317
72.png,0.5818716,0.01686051
73.png,0.7701638,0.07371848
74.png,0.60484433,0.34777862
75.png,0.51990974,0.33160156
76.png,0.99951327,0.9666982
77.png,0.7237626,0.262825
78.png,0.81511897,0.4088374
79.png,0.40796614,0.24464759
80.png,0.31353205,0.01160452
81.png,0.3897791,0.014497664
82.png,0.9953959,0.7114523
83.png,0.59152514,0.06319366
84.png,0.9935351,0.093512066
85.png,0.5312936,0.28446716
86.png,0.91488487,0.70979583
87.png,0.9129507,0.14282085
88.png,0.7314263,0.2110365
89.png,0.95012033,0.044960212
90.png,0.8647021,0.6309801
91.png,0.18002032,0.08459705
92.png,0.77463734,0.23352115
93.png,0.6780616,0.08589202
94.png,0.9108373,0.30102044
95.png,0.88063544,0.5841818
96.png,0.78742826,0.5947284
97.png,0.37722605,0.16938949
98.png,0.6410795,0.37903965
99.png,0.9790543,0.9387863
100.png,0.95402926,0.27067107
101.png,0.38755307,0.1207353
102.png,0.9199464,0.0009028964
103.png,0.40327218,0.069369316
104.png,0.9925496,0.62545985
105.png,0.75766236,0.5591976
106.png,0.62410027,0.10755516
107.png,0.5292099,0.10790951
108.png,0.9965767,0.4970818
109.png,0.5558369,0.36352685
110.png,0.77267665,0.3824851
111.png,0.99229306,0.2293709
112.png,0.56724197,0.3173194
113.png,0.8236524,0.5062455
114.png,0.3358167,0.14398567
115.png,0.16253057,0.003870862
116.png,0.77523303,0.5108822
117.png,0.89020836,0.7457514
118.png,0.8348429,0.58783865
119.png,0.7742512,0.12318176
120.png,0.6949917,0.4915244
121.png,0.20170274,0.006742992
122.png,0.862472,0.5378059
123.png,0.99502856,0.052302938
124.png,0.73238117,0.039971452
125.png,0.23871748,0.0016870179
126.png,0.6619605,0.4577784
127.png,0.638864,0.06339098
128.png,0.21725394,0.11308523
129.png,0.9954734,0.58336425
130.png,0.8607662,0.1684869
131.png,0.60175604,0.1579195
132.png,0.76664853,0.4363729
133.png,0.76815367,0.28586394
134.png,0.955831,0.6919845
135.png,0.9481626,0.21631123
136.png,0.35173038,0.00941334
137.png,0.72784,0.40101832
138.png,0.49394357,0.25430706
139.png,0.4155232,0.2001216
140.png,0.7031291,0.3608829
141.png,0.9049692,0.40312842
142.png,0.73639446,0.15796553
143.png,0.427479,0.010990148
144.png,0.27626377,0.0066567375
145.png,0.8163766,0.6316584
146.png,0.45056504,0.059123132
147.png,0.68030906,0.23411427
148.png,0.89468884,0.027240532
149.png,0.99733984,0.13926391
150.png,0.8458056,0.03964053
151.png,0.94746226,0.7449831
152.png,0.86233276,0.32834873
153.png,0.29248953,0.16377588
154.png,0.89795625,0.66613555
155.png,0.8091968,0.46086568
156.png,0.77887946,0.18015759
157.png,0.6712251,0.28437003
158.png,0.81412476,0.35349643
159.png,0.808269,0.0014182
160.png,0.5560564,0.17610359
161.png,0.8788209,0.0679046
162.png,0.6926135,0.031339962
163.png,0.5924307,0.3933783
164.png,0.9981335,0.66798043
165.png,0.26651996,0.0506301
166.png,0.9111015,0.24835454
167.png,0.6197074,0.016160525
168.png,0.714648,0.3113401
169.png,0.95035714,0.4277186
